Product ID,Asset Type,Asset Format,Title,Description,URL,Image URL,Authors,Duration,Language,Publication Date,Copyright Holder,Subject Tags,Status,Collection,Major Discipline,Parent Product ID,Last Modified Date,Skills
186TM-HTM-ENG,Course,HTML,Time Management,"Time management isn't about cramming more into your schedule. It's about making smarter, more purposeful choices with the hours you have. Learn how to get more of what you want from your time.",https://tataelxsi.myhbp.org/hmm12/content/time_management/landingpage.html,https://hbr.org/resources/images/products/186TM_500.png,Harvard Business Publishing,77,English,10/19/2016,Harvard Business Publishing,Managing yourself; Time management,Active,HMM,General Management,,5/2/2024,Cultivating personal agility; Cultivating resilience; Integrating work and life; Managing your energy and mental health; Sustaining high performance; Taking charge of your professional growth
186LN-HTM-ENG,Course,HTML,Leveraging Your Networks,"Networking isn't ""just political game-playing""-it's a crucial skill for all managers. By learning to create an effective network, you can improve your interpersonal skills, access new information, and connect with important organizational stakeholders.",https://tataelxsi.myhbp.org/hmm12/content/leveraging_your_networks/landingpage.html,https://hbr.org/resources/images/products/186LN_500.png,Harvard Business Publishing,181,English,4/26/2017,Harvard Business Publishing,Customer relationship management; Interpersonal relations; Interpersonal skills; Networking; Networks; Relationship management,Active,HMM,Organizational Behavior,,5/2/2024,Building authentic relationships; Cultivating personal agility; Leading with social awareness; Networking
186TC-HTM-ENG,Course,HTML,Team Creation,"The best teams are bound by a common purpose and shared set of goals. To create your all-star team, learn when you need to work together, how to assign a team leader, and the importance of member accountability.",https://tataelxsi.myhbp.org/hmm12/content/team_creation/landingpage.html,https://hbr.org/resources/images/products/186TC_500.png,Harvard Business Publishing,106,English,9/14/2014,Harvard Business Publishing,Leading teams; Managing people; Performance management; Teams,Removed,HMM,Organizational Behavior,,2/27/2023,
186BP-HTM-ENG,Course,HTML,Business Plan Development,A business plan takes the abstract goals of an organization or team and makes them concrete and actionable. Learn how to create a living document that will showcase an opportunity or idea and outline how your organization can make it a reality.,https://tataelxsi.myhbp.org/hmm12/content/business_plan_development/landingpage.html,https://hbr.org/resources/images/products/186BP_500.png,Harvard Business Publishing,106,English,9/14/2014,Harvard Business Publishing,Business plans; Concept stage; Development stage; Entrepreneurial management; Management skills; Preparing business plans; Venture life cycle,Active,HMM,Entrepreneurship,,5/20/2024,Crafting strategy; Creating a business case; Developing financial literacy; Focusing on the customer; Forecasting; Leveraging financial tools for business impact; Writing
186MB-HTM-ENG,Course,HTML,Managing Your Boss,"Having a positive, healthy relationship with your manager is key to your success. Learn how to resolve differences without losing focus on business priorities.",https://tataelxsi.myhbp.org/hmm12/content/managing_your_boss/landingpage.html,https://hbr.org/resources/images/products/186MB_500.png,Harvard Business Publishing,159,English,9/14/2014,Harvard Business Publishing,Customer relationship management; Interpersonal skills; Managing superiors; Managing up; Organizational behavior; Relationship management; Relationships,Active,HMM,General Management,,5/2/2024,Building authentic relationships; Enabling collaboration; Leading with social awareness; Listening; Managing conflict; Negotiating; Sustaining high performance; Taking charge of your professional growth
186PI-HTM-ENG,Course,HTML,Process Improvement,Your organization creates value for customers through a series of activities. Ensure you and your team are at your most productive by understanding the processes you are part of and redesigning them to enhance your organization's performance.,https://tataelxsi.myhbp.org/hmm12/content/process_improvement/landingpage.html,https://hbr.org/resources/images/products/186PI_500.png,Harvard Business Publishing,122,English,9/14/2014,Harvard Business Publishing,Business processes; Improving performance; Organizational culture,Active,HMM,Operations Management,,5/20/2024,Aligning with strategy; Crafting strategy; Creating a business case; Developing data intelligence; Leading a change initiative; Leading innovation; Leveraging financial tools for business impact; Making decisions; Managing projects; Measuring business performance; Overcoming resistance to change; Thinking strategically
186DL-HTM-ENG,Course,HTML,Delegating,"You can't accomplish all your assignments on your own. The ability to delegate well is critical to your-and your team's-success. Discover how to decide what to delegate, effectively communicate assignments, and support delegated work.",https://tataelxsi.myhbp.org/hmm12/content/delegating/landingpage.html,https://hbr.org/resources/images/products/186DL_500.png,Harvard Business Publishing,87,English,9/14/2014,Harvard Business Publishing,Delegation,Active,HMM,General Management,,5/2/2024,Building your team; Cultivating personal agility; Driving high performance on your team; Leading with purpose; Making decisions; Managing projects; Motivating people
186RE-HTM-ENG,Course,HTML,Retaining Employees,"It's not technology or financial assets that make your business great-it's your people. Stay ahead of your competition by learning how to hire for the right skills, manage at-risk employees, and encourage a positive organizational culture.",https://tataelxsi.myhbp.org/hmm12/content/retaining_employees/landingpage.html,https://hbr.org/resources/images/products/186RE_500.png,Harvard Business Publishing,109,English,9/14/2014,Harvard Business Publishing,Employee retention; Talent management,Removed,HMM,Human Resource Management,,2/27/2023,
186WS-HTM-ENG,Course,HTML,Writing Skills,"How you communicate with others is essential to your success, so don't let your writing skills be an afterthought. Learn how to communicate clearly and concisely, connect with diverse audiences, and develop the ideas you want to share.",https://tataelxsi.myhbp.org/hmm12/content/writing_skills/landingpage.html,https://hbr.org/resources/images/products/186WS_500.png,Harvard Business Publishing,108,English,9/14/2014,Harvard Business Publishing,Business writing; Personal effectiveness; Productivity,Active,HMM,General Management,,5/2/2024,Communicating virtually; Crafting strategy; Focusing on the customer; Sustaining high performance; Writing
186FI-HTM-ENG,Course,HTML,Finance Essentials,"Let's face it-money is the fuel that keeps your organization running. No matter your role, by understanding the fundamentals of finance, you ensure your team will make the most of its resources. Learn how to interpret financial statements, create a budget, and invest wisely to produce the desired returns.",https://tataelxsi.myhbp.org/hmm12/content/finance_essentials/landingpage.html,https://hbr.org/resources/images/products/186FI_500.png,Harvard Business Publishing,129,English,9/14/2014,Harvard Business Publishing,Finance; Finance essentials; Management skills,Active,HMM,Finance,,5/2/2024,Budgeting; Developing financial literacy; Helping people be their best; Managing risk; Measuring business performance
